CustomerID,FirstName,LastName,Email,Phone,Gender,Age,City,Region,Segment,JoinDate
1,Amy,Cook,cust1_murphy.com,892.884.0445,Female,64,Washington DC,East,VIP,2023-03-01
2,Katherine,Smith,cust2_hunt.biz,933.773.8987,Male,68,Dallas,South,Regular,2025-06-19
3,Christopher,Singleton,cust3_carrillo-wolfe.com,778.505.2924x075,Female,31,Chicago,North,Regular,2026-05-15
4,Ronald,Goodwin,cust4_medina.com,(525)899-9966,Other,59,New York,North,Occasional,2024-10-13
5,Amanda,Lopez,cust5_murphy.com,421-582-0970,Female,67,Chicago,North,New,2023-04-09
6,Rhonda,Cruz,cust6_hall.net,870-458-0256,Other,42,Miami,South,Occasional,2023-04-18
7,David,Barnes,cust7_jones.com,546.972.9949,Female,24,Orlando,East,New,2023-06-22
8,James,Ritter,cust8_brown-ross.com,459.877.7901x47546,Male,63,Detroit,Midwest,Occasional,2024-03-03
9,Hayden,Williamson,cust9_ellis-bartlett.com,001-991-860-3248x413,Other,26,Seattle,West,Regular,2024-01-23
10,Angela,Carney,cust10_campos.com,(572)843-8070x17656,Male,38,New York,North,Occasional,2026-03-29
11,Alex,Wilson,cust11_murphy.info,371.418.3727x4220,Female,71,Seattle,West,Occasional,2023-02-28
12,David,Figueroa,cust12_jones.com,(275)323-0837,Other,45,Washington DC,East,Occasional,2024-04-01
13,Hannah,Wallace,cust13_smith.com,(333)410-6005x313,Female,57,Columbus,Midwest,Occasional,2024-08-29
14,Gary,Perry,cust14_ochoa.net,+1-439-238-6613x3155,Female,54,Chicago,North,Occasional,2026-01-29
15,Destiny,Smith,cust15_ellis.com,+1-495-601-3649x7189,Other,63,New York,North,Occasional,2024-09-16
16,Carol,Jarvis,cust16_price.com,225-571-5099x76838,Male,26,Indianapolis,Midwest,Regular,2023-05-28
17,Christina,Mosley,cust17_young-patterson.com,+1-510-925-7432x630,Other,33,Baltimore,East,VIP,2023-02-02
18,Natalie,Taylor,cust18_schneider-hodges.net,(740)435-5338x03396,Female,23,San Francisco,West,Regular,2026-02-22
