CustomerID,FirstName,LastName,Email,Phone,Gender,Age,City,Region,Segment,JoinDate
1,Dakshesh,Pillay,cust1_yahoo.com,+91 751366502,Female,22,Chennai,South,Occasional,2023-02-28
2,Gautam,Tripathi,cust2_yahoo.com,+91 993787624,Female,40,Kolkata,East,Regular,2023-04-30
3,Benjamin,Sengupta,cust3_hotmail.com,+91 736304877,Female,51,New Delhi,North,Occasional,2024-12-19
4,Raghav,Nagy,cust4_hotmail.com,+91 856574155,Other,56,Pune,West,Occasional,2025-10-09
5,Yachana,Dora,cust5_gmail.com,+91 913417112,Male,28,Nagpur,Central,Occasional,2025-01-08
6,Harshil,Oza,cust6_hotmail.com,+91 959837435,Female,44,Pune,West,New,2024-11-30
7,Yamini,Gera,cust7_gmail.com,+91 881711392,Female,57,Bhopal,Central,New,2023-05-12
8,Raksha,Sarna,cust8_hotmail.com,+91 710973131,Other,54,Bangalore,South,VIP,2024-01-20
9,Nathan,Patla,cust9_yahoo.com,+91 866490846,Male,51,Lucknow,North,New,2025-03-23
10,Lila,Rege,cust10_yahoo.com,+91 792295533,Female,38,New Delhi,North,VIP,2024-03-15
11,Charles,Natt,cust11_gmail.com,+91 725409245,Female,31,Kolkata,East,Regular,2025-11-20
12,Girindra,Raju,cust12_yahoo.com,+91 997911131,Other,45,Bangalore,South,Regular,2024-05-27
13,Mason,Nath,cust13_gmail.com,+91 768990693,Other,59,New Delhi,North,Occasional,2024-01-27
14,Lohit,Palla,cust14_yahoo.com,+91 971164848,Other,59,Mumbai,West,Regular,2025-06-24
15,Manya,Dayal,cust15_hotmail.com,+91 813138609,Other,42,Chandigarh,North,Occasional,2025-10-16
16,Frado,Mukherjee,cust16_hotmail.com,+91 915772164,Male,32,Patna,East,Occasional,2026-01-06
17,Falguni,Datta,cust17_hotmail.com,+91 795378992,Female,27,Patna,East,Regular,2024-08-08
18,Girik,Sampath,cust18_hotmail.com,+91 782955977,Other,42,Kolkata,East,Occasional,2025-12-27
19,Andrew,Patil,cust19_yahoo.com,+91 916393472,Other,20,Patna,East,Occasional,2024-07-16
20,Tanish,Om,cust20_yahoo.com,+91 757774480,Other,50,Guwahati,East,Occasional,2023-10-08
21,Upkaar,Devan,cust21_gmail.com,+91 784511481,Female,44,Ahmedabad,West,New,2023-10-26
22,Chakrika,Chaudhuri,cust22_hotmail.com,+91 896655517,Other,38,Pune,West,New,2023-04-30
23,Baljiwan,Nayar,cust23_hotmail.com,+91 855760577,Male,43,Lucknow,North,Occasional,2026-04-12
24,Krisha,Dube,cust24_gmail.com,+91 990248713,Female,36,Bangalore,South,Occasional,2023-07-23
25,Noah,Sarma,cust25_gmail.com,+91 960183943,Male,41,Hyderabad,South,New,2023-10-08
26,Janya,Khanna,cust26_yahoo.com,+91 783104360,Other,50,Indore,Central,Occasional,2024-09-30
27,Bhavani,Sen,cust27_gmail.com,+91 952600219,Other,35,Hyderabad,South,Occasional,2025-08-06
28,William,More,cust28_yahoo.com,+91 960324690,Other,37,Surat,West,Occasional,2025-04-09
29,Jhalak,Sastry,cust29_yahoo.com,+91 968259954,Other,59,Jaipur,North,New,2023-10-29
30,Baghyawati,Raja,cust30_hotmail.com,+91 773247173,Other,59,Bangalore,South,New,2026-04-10
31,Omya,Edwin,cust31_gmail.com,+91 779753198,Female,27,Kochi,South,VIP,2025-03-30
32,Lakshit,Krishna,cust32_gmail.com,+91 733947894,Male,58,Lucknow,North,VIP,2026-05-29
33,Vasana,Prabhu,cust33_hotmail.com,+91 855777512,Male,15,Surat,West,Occasional,2025-09-23
34,Zaitra,Dash,cust34_yahoo.com,+91 836411538,Female,54,Ahmedabad,West,Occasional,2023-06-09
35,Naveen,Mahajan,cust35_yahoo.com,+91 814611427,Other,37,Kolkata,East,VIP,2023-05-11
36,Manan,Sarkar,cust36_gmail.com,+91 764805701,Other,54,Guwahati,East,New,2025-03-08
37,Shravya,Palla,cust37_gmail.com,+91 772877188,Female,45,Kolkata,East,Regular,2023-12-11
38,Chatresh,Randhawa,cust38_hotmail.com,+91 990196565,Male,39,New Delhi,North,Occasional,2024-10-06
39,Warinder,Raju,cust39_gmail.com,+91 849665895,Male,60,Kochi,South,New,2024-08-03
40,Udarsh,Bala,cust40_yahoo.com,+91 797231707,Male,58,Kochi,South,Occasional,2024-08-05
41,Gautami,Dhingra,cust41_gmail.com,+91 933574381,Male,59,Raipur,Central,Occasional,2023-06-03
42,Bhavini,Sodhi,cust42_hotmail.com,+91 925814629,Female,46,Indore,Central,Regular,2023-03-01
43,Upasna,Sen,cust43_hotmail.com,+91 747715439,Male,42,Bhubaneswar,East,Regular,2023-08-04
44,Fariq,Bahl,cust44_yahoo.com,+91 872355105,Male,39,Bangalore,South,Occasional,2023-01-09
45,Mason,Wable,cust45_yahoo.com,+91 833328448,Male,58,Kochi,South,Occasional,2023-12-02
46,Bhavya,Khanna,cust46_yahoo.com,+91 899218203,Other,25,Patna,East,Regular,2023-06-22
47,Champak,Khare,cust47_yahoo.com,+91 856913815,Female,42,Indore,Central,VIP,2023-07-09
48,Tanvi,Bhatnagar,cust48_gmail.com,+91 923528585,Other,17,Nagpur,Central,Regular,2025-09-19
49,Amol,Varma,cust49_hotmail.com,+91 721369998,Male,57,Raipur,Central,Regular,2025-02-15
50,Maanas,Manne,cust50_yahoo.com,+91 713265188,Male,51,Patna,East,Regular,2024-01-11
51,Ira,Khosla,cust51_hotmail.com,+91 957670369,Other,45,Kochi,South,VIP,2023-01-03
52,Rachit,Chada,cust52_hotmail.com,+91 915337307,Male,24,Kochi,South,Regular,2024-10-09
53,Ekansh,Vora,cust53_hotmail.com,+91 775907112,Female,22,Kolkata,East,Occasional,2024-07-14
54,Yashica,Bahri,cust54_yahoo.com,+91 750349981,Female,45,Mumbai,West,Occasional,2025-02-27
55,Caleb,Ram,cust55_yahoo.com,+91 837201276,Female,39,Kochi,South,Occasional,2024-12-31
56,Amol,Parikh,cust56_gmail.com,+91 926978622,Male,24,Indore,Central,New,2024-01-30
57,Wridesh,Chawla,cust57_hotmail.com,+91 782268352,Other,55,Chandigarh,North,Occasional,2024-06-19
58,Gaurangi,Deol,cust58_gmail.com,+91 817870542,Female,17,Pune,West,New,2026-02-16
59,Hamsini,Gill,cust59_hotmail.com,+91 957500560,Male,53,Kolkata,East,Occasional,2024-07-01
60,Varenya,Gopal,cust60_gmail.com,+91 975516761,Female,55,Hyderabad,South,Regular,2024-12-22
61,Tanvi,Bansal,cust61_yahoo.com,+91 765714131,Female,41,Nagpur,Central,VIP,2023-04-09
62,Caleb,Iyengar,cust62_gmail.com,+91 757384502,Other,32,Jaipur,North,Regular,2023-11-10
63,Dayita,Varma,cust63_yahoo.com,+91 951415975,Other,45,Ahmedabad,West,Occasional,2024-05-05
64,Urvashi,Kulkarni,cust64_gmail.com,+91 821808601,Female,36,Patna,East,Occasional,2025-04-23
65,Rayaan,Mangal,cust65_yahoo.com,+91 944377995,Female,33,Indore,Central,Occasional,2026-03-16
66,Champak,Narula,cust66_yahoo.com,+91 782295456,Female,34,Chennai,South,Regular,2026-04-27
67,Jhalak,Sarkar,cust67_yahoo.com,+91 886534785,Female,57,Surat,West,Regular,2023-07-13
68,Ria,Raju,cust68_yahoo.com,+91 834803802,Other,38,Bhopal,Central,Occasional,2026-02-28
69,Watika,Tank,cust69_yahoo.com,+91 884632277,Male,22,Nagpur,Central,Occasional,2023-10-18
70,Zilmil,Loke,cust70_gmail.com,+91 991950445,Male,26,Pune,West,New,2026-05-23
71,Panini,Brar,cust71_yahoo.com,+91 871834377,Male,51,Bhubaneswar,East,Regular,2026-02-03
72,Pranit,Memon,cust72_yahoo.com,+91 919358227,Female,39,Pune,West,Occasional,2025-07-24
73,Fariq,Narang,cust73_hotmail.com,+91 742606565,Male,50,Kolkata,East,Occasional,2023-06-09
74,Damini,Sehgal,cust74_hotmail.com,+91 816537743,Male,46,Surat,West,Occasional,2024-04-04
75,Pooja,Ganesan,cust75_hotmail.com,+91 825243285,Female,22,Guwahati,East,Regular,2026-01-19
76,Indali,Sekhon,cust76_gmail.com,+91 823661648,Male,32,New Delhi,North,Regular,2024-11-20
77,Ira,Saran,cust77_yahoo.com,+91 794680161,Male,15,Chandigarh,North,Regular,2026-02-03
78,Dakshesh,Borde,cust78_hotmail.com,+91 840336325,Female,54,Nagpur,Central,Occasional,2025-09-20
79,Nidra,Patla,cust79_hotmail.com,+91 712666698,Male,35,Ahmedabad,West,Occasional,2025-09-17
80,Nathaniel,Balasubramanian,cust80_gmail.com,+91 988117264,Male,20,Kochi,South,Occasional,2026-05-29
81,Raksha,Banerjee,cust81_gmail.com,+91 722352965,Female,41,Nagpur,Central,Regular,2025-08-01
82,Warinder,Peri,cust82_yahoo.com,+91 745209103,Male,30,Patna,East,Occasional,2023-04-15
83,Bachittar,Dube,cust83_hotmail.com,+91 739202967,Female,20,Guwahati,East,Regular,2024-08-17
84,Kamala,Prabhu,cust84_yahoo.com,+91 959971729,Male,39,Guwahati,East,VIP,2024-11-29
