SupplierID,SupplierName,ContactName,Email,Phone,City,Country,Rating
1,Choudhury Textiles & Apparel Ltd.,Anvi Konda,liamchaudry@chahal.com,+913389083863,Tiruppur,India,3.83
2,Sen Textiles & Apparel Ltd.,Abeer Dutta,roak@kale.com,+916155940781,Ahmedabad,India,4.09
3,Radhakrishnan Textiles & Apparel Ltd.,Chaaya Pathak,ekarajbath@kari.com,+916475255341,Ludhiana,India,4.68
4,Garg Textiles & Apparel Ltd.,Nihal Shere,omadan@kanda.com,+915641395376,Tiruppur,India,4.51
5,Shanker Textiles & Apparel Ltd.,Alka Dewan,adyasangha@rastogi.com,7101226916,Surat,India,3.84
6,Raj Textiles & Apparel Ltd.,Zayan Apte,yadavamara@oak.biz,+917048281489,Mumbai,India,4.08
7,Issac Textiles & Apparel Ltd.,Kashvi Edwin,naikvrinda@choudhury.com,+910391171822,Surat,India,4.47
8,Soman Textiles & Apparel Ltd.,Alka Wable,ikakar@iyer.com,08713315098,Coimbatore,India,4.06
9,Karpe Textiles & Apparel Ltd.,Abhimanyu Bobal,karnikekansh@narayanan.net,+914738299737,Ahmedabad,India,4.77
10,Ray Textiles & Apparel Ltd.,Girindra Chatterjee,bpandya@sibal-bhagat.com,+916513338726,Surat,India,4.71
11,Goswami Textiles & Apparel Ltd.,Turvi Krish,savantguneet@zachariah.com,+912677360260,Ludhiana,India,4.64
12,Ramakrishnan Textiles & Apparel Ltd.,Suhani Mangal,jsur@minhas.com,8050097882,Jaipur,India,4.13
13,Bhandari Textiles & Apparel Ltd.,Quincy Biswas,keernetra@koshy.org,+919169985435,Mumbai,India,4.95
14,Khare Textiles & Apparel Ltd.,Meghana Deep,tanvi51@shanker.org,+911838425135,Jaipur,India,3.92
15,Mane Textiles & Apparel Ltd.,Raksha Mittal,mistryhemang@lalla.com,8244935348,Coimbatore,India,3.92
16,Suresh Textiles & Apparel Ltd.,Charan Chanda,cmalhotra@nath.com,+917868011280,Jaipur,India,4.52
17,Pingle Textiles & Apparel Ltd.,Qushi Datta,morarjanya@parmar.com,1586923226,Surat,India,4.68
18,Bakshi Textiles & Apparel Ltd.,Gaurangi Sabharwal,amaradutta@chokshi.info,+913754330365,Tiruppur,India,4.97
19,Mallick Textiles & Apparel Ltd.,Arya Panchal,vyadav@dalia.com,4019655698,Coimbatore,India,3.89
